"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Iqbal M.F.; Nasir F.; Shabbir F.; Babar Z.U.D.; Saleem M.F.; Ullah K.; Sun N.; Ali F.","Iqbal, Muhammad Faisal (56250860000); Nasir, Farooq (59678685000); Shabbir, Fiza (58821530700); Babar, Zaheer Ud Din (56066606400); Saleem, Muhammad Farooq (57212779859); Ullah, Kaleem (57203928872); Sun, Nana (59221941500); Ali, Faizan (57200950551)","56250860000; 59678685000; 58821530700; 56066606400; 57212779859; 57203928872; 59221941500; 57200950551","Supercapacitors: An Emerging Energy Storage System","2025","Advanced Energy and Sustainability Research","6","8","2400412","","","100","10.1002/aesr.202400412","https://www.scopus.com/pages/publications/86000646584?origin=resultslist","Electrochemical capacitors are known for their fast charging and superior energy storage capabilities and have emerged as a key energy storage solution for efficient and sustainable power management. This article comprehensively explores the fundamental principles, architectural advancements, and material innovations underpinning supercapacitor technology. It covers the evolution of supercapacitor performance, the comparison of pseudocapacitors, double-layer capacitors, electrolytes, and the integration of innovative nanostructured materials, such as carbon nanotubes, transition metal oxides, MXene, and graphene, and it investigates the hybrid systems that bridge the gap between capacitors and batteries. The article also discusses the future perspectives of supercapacitor technology. By examining emerging trends and recent research, this review provides a comprehensive overview of electrochemical capacitors as an emerging energy storage system. © 2025 The Author(s). Advanced Energy and Sustainability Research published by Wiley-VCH GmbH.","electrochemical capacitors; electrodes; energy storage; energy storage technologies; supercapacitors","Capacitor storage; Transition metal oxides; Efficient power; Electrochemical capacitor; Energy; Energy storage technologies; Fast charging; Fundamental principles; Storage capability; Storage solutions; Storage systems; Sustainable power; Charge storage","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000646584"
"kumar S.; Pratap S.; Joshi N.; Trivedi R.; Rout C.S.; Chakraborty B.","kumar, Sandeep (25927885200); Pratap, Surender (57190935004); Joshi, Nikunj (57213801644); Trivedi, Ravi (59131909300); Rout, Chandra Sekhar (11739345900); Chakraborty, Brahmananda (58114402800)","25927885200; 57190935004; 57213801644; 59131909300; 11739345900; 58114402800","Recent development of two-dimensional tantalum dichalcogenides and their applications","2023","Micro and Nanostructures","181","","207627","","","7","10.1016/j.micrna.2023.207627","https://www.scopus.com/pages/publications/85163192456?origin=resultslist","Two-dimensional transition metal dichalcogenides (2D TMDs) have piqued the curiosity of both scientists and engineers, and substantial study has resulted in significant advancements in the electronic, magnetic, and optical properties of these 2D materials. Among these, tantalum-based TMDs are gaining increasing attention because of strong Coloumb and electron-lattice interactions. Moreover, the coexistence of charge density waves and the superconducting phase make these materials of particular interest. In this review, we highlight the unique structural properties of 2D tantalum dichalcogenides in different phases (1T, 1T’, and 2H), as well as how these phases influence their electronic, magnetic, layer-dependent, and optical properties. A review of the phase transition mechanisms will be presented, along with an outline of the strategies for the growth of 2D TaX2 (X = S, Se, and Te) systems. The most recent advancements in 2D TaX2 applications will be presented, ranging from high-sensing and field emission applications to energy storage, fuel cells, photocatalysis, and solar cell applications. Furthermore, this review discusses the issues and future development possibilities for TaX2-based systems and may provide some guidance for improving the performance of TaX2-based systems for sensing, energy storage and conversion, and field emission applications. We draw a conclusion to our review by outlining the difficulties in using TaX2 based systems and predicting future trends in development with a perspective of the advancements required to advance this fascinating field. © 2023 Elsevier Ltd","Crystal structure; Electronic properties; Magnetic properties; TaX<sub>2</sub>","Charge density; Charge density waves; Crystal structure; Energy storage; Fuel cells; Fuel storage; Optical properties; Tantalum; Charge-density-waves; Crystals structures; Dichalcogenides; Electron-lattice interactions; Field emission application; Magnetic and optical properties; Scientists and engineers; Super conducting phasis; TaX2; Two-dimensional; Electronic properties","Review","Final","","Scopus","2-s2.0-85163192456"
"Shinde P.A.; Abbas Q.; Chodankar N.R.; Ariga K.; Abdelkareem M.A.; Olabi A.G.","Shinde, Pragati A. (56954692600); Abbas, Qaisar (57209398864); Chodankar, Nilesh R. (56427934800); Ariga, Katsuhiko (7006586066); Abdelkareem, Mohammad Ali (13404514900); Olabi, Abdul Ghani (6701475462)","56954692600; 57209398864; 56427934800; 7006586066; 13404514900; 6701475462","Strengths, weaknesses, opportunities, and threats (SWOT) analysis of supercapacitors: A review","2023","Journal of Energy Chemistry","79","","","611","638","160","10.1016/j.jechem.2022.12.030","https://www.scopus.com/pages/publications/85148671606?origin=resultslist","The development of clean and sustainable energy sources has received widespread interest in the past few decades due to the rolling energy demands while extenuating the rising tiers of greenhouse gases and environmental pollution. Due to their intermittent nature, these green and sustainable sources require appropriate energy storage systems. Amongst different energy storage technologies, electrochemical energy storage devices, particularly supercapacitors (SCs), have fascinated global attention for their utilization in electric vehicles, power supports, portable electronics, and many others application requiring electric energy devices for their operation. Thus, the growth of SCs in the commercial market has squeezed requirements, and further developments are obligatory for their effective industrialization. In the meantime, SCs also face technical complications and contests for their introduction in industrial settings because of their low energy density and high Levelized cost. The present study combines core strengths, weaknesses, opportunities, and threats (SWOT) analysis of SCs with new perspectives and recent ideas. The challenges and the future progressive prospects of SCs are also presented in detail. This review will afford consistent direction and new superhighways for the further development of SCs as standalone and complementary energy storage systems. © 2023 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences","Energy storage; Opportunities; Strengths; Supercapacitors","Energy storage; Greenhouse gases; Clean energy sources; Energy demands; Further development; Greenhouses gas; Opportunity; Storage systems; Strength; Strength analysis; Sustainable energy sources; Threats analysis; Supercapacitor","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85148671606"
"Saadati pour M.; Delyanee M.; Pedram M.Z.","Saadati pour, Mahdi (58667323600); Delyanee, Mercedeh (59700229400); Pedram, Mona Zamani (55681037000)","58667323600; 59700229400; 55681037000","Innovative Synthesis and Advancement Strategies for GCN as Supercapacitor Electrodes: A Comprehensive Review Revealing New Insights","2025","ACS Applied Energy Materials","8","7","","3997","4031","10","10.1021/acsaem.4c02667","https://www.scopus.com/pages/publications/105003033755?origin=resultslist","Graphitic carbon nitride (GCN), a graphite-like material composed of aromatic tri-s-triazine units, has recently gained recognition as a promising candidate for supercapacitor electrode applications. Its abundant availability, metal-free composition, high nitrogen content, and responsiveness to environmental conditions make GCN a highly attractive material for energy storage solutions. Despite this potential, challenges remain in optimizing its specific capacity and energy density. This review stands out by comprehensively analyzing various GCN synthesis methods such as hydrothermal, solvothermal, and sol-gel techniques and critically examining how these methods influence electrochemical performance. A particular focus is placed on identifying optimal synthesis techniques through a detailed comparison of their impact on key functional parameters. This review differentiates from previous studies’ in-depth exploration of advanced strategies to enhance GCN’s electrochemical properties. Specifically, the review delves into innovative approaches like element doping and hybridization with polymers, metals, and carbon-based materials, offering new pathways to significantly boost the performance of GCN electrodes. These cutting-edge strategies have not been systematically explored in other reviews, positioning this article as a forward-thinking contribution to the field. In addition, the review takes a broader, interdisciplinary approach by examining GCN’s functionality in other applications, such as water splitting, and identifying critical commonalities between the functional parameters of these applications and those of supercapacitors. This cross-application analysis, rarely addressed in previous literature, opens new avenues for GCN development, suggesting that insights from related fields can accelerate the optimization of GCN as a supercapacitor electrode. By emphasizing the innovative combination of element doping and metal-based hybridization, this review offers a novel perspective on advancing GCN technology. It also addresses current challenges and provides practical recommendations, making it a pivotal resource for future breakthroughs in energy storage and related applications. © 2025 American Chemical Society.","Composite Engineering; Electrochemical Properties; Element Doping; GCN; Performance Analysis; Supercapacitors; Synthesis Methods","Capacitor storage; Electrochemical properties; Graphitic Carbon Nitride; Composite engineering; Electrochemicals; Element doping; Energy; Functional parameters; Graphitic carbon nitrides; Performances analysis; Property; Supercapacitor electrodes; Synthesis method; Sol-gel process","Review","Final","","Scopus","2-s2.0-105003033755"
"Guerrero-Pérez M.O.","Guerrero-Pérez, M. Olga (57218899338)","57218899338","Perspectives, Advantages, and Limitations of Vanadium Oxides for Batteries, Energy Storage Applications, Gas Sensors and Electrochromic Devices: A Comprehensive Mini-Review","2025","ChemistrySelect","10","41","e00982","","","0","10.1002/slct.202500982","https://www.scopus.com/pages/publications/105020209708?origin=resultslist","Since many decades ago, it is known that V oxides may be conductive, in addition to other interesting properties, as the ability to insert/extract cations and to form mixed valence oxides of different colors, which make them useful for the fabrication of devices in which electrons and cation transport are required, as well as batteries, supercapacitors, sensors, and electrochromic devices. This contribution documents, from a historical perspective, the advancements that have been made in the use of V-oxide-based materials in these devices with a detailed discussion on their synthesis methods, phases formed, and analysis of the applications to offer a coherent synthesis on the relationships between the structure and the behavior of the V-based devices for energy applications. © 2025 The Author(s). ChemistrySelect published by Wiley-VCH GmbH.","Batteries; Electrochromic devices; Electrode; Energy storage; Supercapacitors; V<sub>2</sub>O<sub>5</sub>; VO<sub>2</sub>","","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020209708"
"Yang G.; Hao Z.; Fang C.; Zhang W.; Zhang X.-H.; Li Y.; Yan Z.; Wang Z.; Sun T.; Yang X.; Wang F.; Zhang C.; Jin H.; Lou S.; Chen N.; Li Y.; Liang J.-Y.; Yang L.; Yuan S.; Niu J.; Li S.; Xu X.; Wang D.; Jin S.; Li B.-Q.; Zhao M.; Zhao C.; Sun B.; Wu X.; Qi Y.; Wang L.; Li N.; Qin B.; Yan D.; Cao X.; Jin T.; Wei P.; Zhang J.; Liang J.; Liu L.; Sun R.; Wei Z.; Cao X.; Lei K.; Dong X.; Xu X.; Rong X.; Liu Z.; Ding H.; Wang X.; Yan Z.; Qin G.; Chen G.; Chen Y.; Nie P.; Chang Z.; Wan F.; Mao M.; Lin Z.; Zhou A.; Guo Q.; Luo W.; Shi X.; Guo Y.; Ma L.; Ma X.; Duan J.; Yuan Z.; Lei J.; Fan H.; Yang J.; Li C.; Zhou T.; Lian J.; Zhao J.; Ju H.; Song T.; Shadike Z.; Lv W.; Wen J.; Zeng L.; Ma J.","Yang, Gaojing (57205102969); Hao, Zhimeng (57219187460); Fang, Chun (57007612000); Zhang, Wen (57192364183); Zhang, Xia-hui (57203573391); Li, Yuyu (57192083802); Yan, Zhenhua (57072228500); Wang, Zhiyuan (55342353400); Sun, Tao (55987888200); Yang, Xiaofei (56716954200); Wang, Fei (57208612496); Zhang, Chengzhi (57221755017); Jin, Hongchang (57195682859); Lou, Shuaifeng (56052549700); Chen, Nan (59080125500); Li, Yiju (57205480852); Liang, Jia-Yan (57195673227); Yang, Le (57193720834); Yuan, Shouyi (56154587900); Niu, Jin (55911703800); Li, Shuai (57203292838); Xu, Xu (55508472800); Wang, Dong (57387689100); Jin, Song (56489162200); Li, Bo-Quan (57188759573); Zhao, Meng (57203889134); Zhao, Changtai (56082487500); Sun, Baoyu (57204532998); Wu, Xiaohong (57217356834); Qi, Yuruo (57212467797); Wang, Lili (57196330970); Li, Nan (57197436647); Qin, Bin (58493756100); Yan, Dong (56622032200); Cao, Xin (57210188779); Jin, Ting (57188990282); Wei, Peng (57204932709); Zhang, Jing (60029970600); Liang, Jiaojiao (56996489000); Liu, Li (56532876500); Sun, Ruimin (57198677999); Wei, Zengxi (57194636099); Cao, Xinxin (56437090800); Lei, Kaixiang (57057123500); Dong, Xiaoli (55587312700); Xu, Xijun (55745116000); Rong, Xiaohui (57190575382); Liu, Zhaomeng (56493571400); Ding, Hongbo (57203498818); Wang, Xuanpeng (56331543400); Yan, Zhanheng (57195544106); Qin, Guohui (45461204400); Chen, Guanghai (60029829200); Chen, Yaxin (57191366306); Nie, Ping (51061381900); Chang, Zhi (56673498700); Wan, Fang (57208849318); Mao, Minglei (56102956600); Lin, Zejing (57194868848); Zhou, Anxing (57211551700); Guo, Qiubo (57193016435); Luo, Wen (56559198200); Shi, Xiaodong (56814020100); Guo, Yan (57198927159); Ma, Longtao (56824691300); Ma, Xiangkun (36911505900); Duan, Jiangjiang (57220934804); Yuan, Zhizhang (56357996300); Lei, Jiafeng (57219428951); Fan, Hao (59276145100); Yang, Jinlin (57840574400); Li, Chao (58392577000); Zhou, Tong (57209577987); Lian, Jiabiao (26532890300); Zhao, Jin (57206579463); Ju, Huanxin (59837583800); Song, Tinglu (56367470500); Shadike, Zulipiya (56088345900); Lv, Weiguang (57200518051); Wen, Jiawei (57199884725); Zeng, Lingxing (47761624600); Ma, Jianmin (57203906041)","57205102969; 57219187460; 57007612000; 57192364183; 57203573391; 57192083802; 57072228500; 55342353400; 55987888200; 56716954200; 57208612496; 57221755017; 57195682859; 56052549700; 59080125500; 57205480852; 57195673227; 57193720834; 56154587900; 55911703800; 57203292838; 55508472800; 57387689100; 56489162200; 57188759573; 57203889134; 56082487500; 57204532998; 57217356834; 57212467797; 57196330970; 57197436647; 58493756100; 56622032200; 57210188779; 57188990282; 57204932709; 60029970600; 56996489000; 56532876500; 57198677999; 57194636099; 56437090800; 57057123500; 55587312700; 55745116000; 57190575382; 56493571400; 57203498818; 56331543400; 57195544106; 45461204400; 60029829200; 57191366306; 51061381900; 56673498700; 57208849318; 56102956600; 57194868848; 57211551700; 57193016435; 56559198200; 56814020100; 57198927159; 56824691300; 36911505900; 57220934804; 56357996300; 57219428951; 59276145100; 57840574400; 58392577000; 57209577987; 26532890300; 57206579463; 59837583800; 56367470500; 56088345900; 57200518051; 57199884725; 47761624600; 57203906041","Research progress and perspectives on rechargeable batteries","2025","Chinese Chemical Letters","36","10","111185","","","30","10.1016/j.cclet.2025.111185","https://www.scopus.com/pages/publications/105012617380?origin=resultslist","Energy storage plays a critical role in sustainable development, with secondary batteries serving as vital technologies for efficient energy conversion and utilization. This review provides a comprehensive summary of recent advancements across various battery systems, including lithium-ion, sodium-ion, potassium-ion, and multivalent metal-ion batteries such as magnesium, zinc, calcium, and aluminum. Emerging technologies, including dual-ion, redox flow, and anion batteries, are also discussed. Particular attention is given to alkali metal rechargeable systems, such as lithium-sulfur, lithium-air, sodium-sulfur, sodium-selenium, potassium-sulfur, potassium-selenium, potassium-air, and zinc-air batteries, which have shown significant promise for high-energy applications. The optimization of key components—cathodes, anodes, electrolytes, and interfaces—is extensively analyzed, supported by advanced characterization techniques like time-of-flight secondary ion mass spectrometry (TOF-SIMS), synchrotron radiation, nuclear magnetic resonance (NMR), and in-situ spectroscopy. Moreover, sustainable strategies for recycling spent batteries, including pyrometallurgy, hydrometallurgy, and direct recycling, are critically evaluated to mitigate environmental impacts and resource scarcity. This review not only highlights the latest technological breakthroughs but also identifies key challenges in reaction mechanisms, material design, system integration, and waste battery recycling, and presents a roadmap for advancing high-performance and sustainable battery technologies. © 2025","Battery recycling; Characterization technologies; Electrode materials; Electrolyte chemistry; Rechargeable batteries","","Review","Final","","Scopus","2-s2.0-105012617380"
"He L.; Liang Q.; Pan W.; Tang J.; Wang D.; Qin W.; Liu J.; Tang M.; Wang Z.","He, Lei (58763399300); Liang, Qian (57326659000); Pan, Wenhao (58613067800); Tang, Junyan (57475229200); Wang, Dehua (59700506900); Qin, Wen (59699921300); Liu, Junjie (57206938794); Tang, Mi (57203312408); Wang, Zhengbang (55856452300)","58763399300; 57326659000; 58613067800; 57475229200; 59700506900; 59699921300; 57206938794; 57203312408; 55856452300","An Ultrathin Asymmetric Composite Polymer Electrolyte for High-Performance Solid-State Sodium–Metal Batteries","2026","ACS Applied Polymer Materials","8","11","","8577","8587","0","10.1021/acsapm.6c01050","https://www.scopus.com/pages/publications/105041655847?origin=resultslist","Solid-state sodium–metal batteries have attracted much attention due to their high theoretical capacity and relatively low cost associated with abundant sodium resources. However, the poor interface problems of solid-state electrolytes matching with both the rough composite cathode and the highly reactive sodium anode urgently need to be addressed. In this study, an asymmetric composite polymer electrolyte (PEO|PTFE|PEO@MOF) with an ultrathin thickness of only 16 μm is successfully developed through an asymmetric coating of poly(ethylene oxide) (PEO) and PEO@metal–organic framework (PEO@MOF) electrolytes on the two sides of a porous, high-strength poly(tetrafluoroethylene) (PTFE) membrane combined with a hot-pressing process. The ultrathin thickness of the electrolyte suggests shorter ionic transport paths with faster ionic conductance between a cathode and an anode. The softer PEO side enables a close interface contact with the rough cathode. The harder PEO@MOF side with abundant MOF pores can not only guide the transportation of sodium ions for uniform sodium deposition but also avoid the electrochemical reaction between PTFE and the sodium anode. Therefore, the batteries with such asymmetric electrolytes exhibit much superior rate capability and cycling stability to their reference symmetric electrolytes. This study also provides a highly operational route for the low-cost and scalable manufacturing of ultrathin asymmetric composite electrolytes. © 2026 American Chemical Society","asymmetric electrolytes; MOFs; scalable manufacturing; sodium–metal batteries; ultrathin","Anodes; Cathodes; Composite materials; Ethylene; Interface states; Ion exchange; Ionic conduction; Metal ions; Polyethylene oxides; Sodium; Sodium deposits; Solid electrolytes; Solid-State Batteries; Asymmetric electrolytes; Composite polymer electrolytes; Low-costs; Performance; Poly (tetrafluoroethylene); Poly(ethylene) oxide; Poly(tetrafluoroethylene); Scalable manufacturing; Sodium–metal battery; Ultra-thin; Hot pressing","Article","Final","","Scopus","2-s2.0-105041655847"
"Quilty C.D.; Wu D.; Li W.; Bock D.C.; Wang L.; Housel L.M.; Abraham A.; Takeuchi K.J.; Marschilok A.C.; Takeuchi E.S.","Quilty, Calvin D. (57193697915); Wu, Daren (57211494412); Li, Wenzao (57201742918); Bock, David C. (55175695600); Wang, Lei (57980804900); Housel, Lisa M. (57195204846); Abraham, Alyson (57195200215); Takeuchi, Kenneth J. (7403989936); Marschilok, Amy C. (6506798731); Takeuchi, Esther S. (7101862889)","57193697915; 57211494412; 57201742918; 55175695600; 57980804900; 57195204846; 57195200215; 7403989936; 6506798731; 7101862889","Electron and Ion Transport in Lithium and Lithium-Ion Battery Negative and Positive Composite Electrodes","2023","Chemical Reviews","123","4","","1327","1363","337","10.1021/acs.chemrev.2c00214","https://www.scopus.com/pages/publications/85148001131?origin=resultslist","Electrochemical energy storage systems, specifically lithium and lithium-ion batteries, are ubiquitous in contemporary society with the widespread deployment of portable electronic devices. Emerging storage applications such as integration of renewable energy generation and expanded adoption of electric vehicles present an array of functional demands. Critical to battery function are electron and ion transport as they determine the energy output of the battery under application conditions and what portion of the total energy contained in the battery can be utilized. This review considers electron and ion transport processes for active materials as well as positive and negative composite electrodes. Length and time scales over many orders of magnitude are relevant ranging from atomic arrangements of materials and short times for electron conduction to large format batteries and many years of operation. Characterization over this diversity of scales demands multiple methods to obtain a complete view of the transport processes involved. In addition, we offer a perspective on strategies for enabling rational design of electrodes, the role of continuum modeling, and the fundamental science needed for continued advancement of electrochemical energy storage systems with improved energy density, power, and lifetime. © 2023 American Chemical Society.","","Continuum mechanics; Electrochemical electrodes; Electrons; Energy storage; Ions; Renewable energy resources; Storage (materials); Composites electrodes; Electrochemical energy storage; Electron transport; Integration of renewable energies; Ion-transport; Portable electronic devices; Positive composite; Renewable energy generation; Storage systems; Transport process; Lithium-ion batteries","Review","Final","","Scopus","2-s2.0-85148001131"
"Raja S.V.; Dai H.; Chen Z.; ELJarray O.; Cao S.; Sun S.; Zhang G.","Raja, Subhiksha Venkatesh (60020012800); Dai, Hongliu (57196356958); Chen, Zhangsen (57193932665); ELJarray, Oumayma (59327748200); Cao, Siyi (57344978300); Sun, Shuhui (59714457600); Zhang, Gaixia (22942728300)","60020012800; 57196356958; 57193932665; 59327748200; 57344978300; 59714457600; 22942728300","Designing multifunctional binders for next-generation batteries: Strategies to improve longevity, safety, and electrochemical performance","2026","Journal of Energy Storage","148","","120181","","","1","10.1016/j.est.2025.120181","https://www.scopus.com/pages/publications/105027289824?origin=resultslist","The global transition toward clean and sustainable energy has intensified the demand for efficient and durable energy storage systems, particularly rechargeable batteries for electric vehicles. Beyond active materials, the binder plays a crucial yet often underappreciated role in determining factors including electrode integrity, mechanical robustness, and ion/electron transport pathways that directly influence battery performance, longevity, and safety. Conventional binders such as polyvinylidene fluoride (PVDF) suffer from poor adhesion, limited mechanical flexibility, and low tolerance to electrode volume fluctuations, leading to structural degradation and capacity fading. Recent advancements in binder design have focused on multifunctional systems that integrate self-healing capabilities, enhanced ionic/electronic conductivity, and dynamic cross-linked architectures. Strategies including reversible bonding, supramolecular interactions, and three-dimensional polymeric networks have shown great promise in addressing the limitations of traditional systems. This review critically discusses these emerging developments, emphasizing the mechanistic insights and design principles that guide the evolution of binder chemistry. Finally, it highlights technological directions for developing next-generation, sustainable binders tailored for advanced battery chemistries and large-scale industrial implementation. © 2025 The Authors","Longevity; Multifunctional binders; Next-generation batteries; Safety; Sustainable energy solutions","Binders; Chemical bonds; Crosslinking; Data storage equipment; Electrodes; Fits and tolerances; Fluorine compounds; Secondary batteries; Supramolecular chemistry; Clean energy; Electrochemical performance; Global transitions; Longevity; Multifunctional binder; Multifunctionals; Next-generation battery; Safety performance; Sustainable energy; Sustainable energy solutions; Accident prevention","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105027289824"
"Xu S.; Yang Y.; Tang F.; Yao Y.; Lv X.; Liu L.; Xu C.; Feng Y.; Rui X.; Yu Y.","Xu, Shitan (57220814614); Yang, Yi (57200899219); Tang, Fang (57451237800); Yao, Yu (57504918100); Lv, Xiang (57737675400); Liu, Lin (57450342300); Xu, Chen (57198225470); Feng, Yuezhan (55975338500); Rui, Xianhong (58728194800); Yu, Yan (57752264900)","57220814614; 57200899219; 57451237800; 57504918100; 57737675400; 57450342300; 57198225470; 55975338500; 58728194800; 57752264900","Vanadium fluorophosphates: advanced cathode materials for next-generation secondary batteries","2023","Materials Horizons","10","6","","1901","1923","40","10.1039/d3mh00003f","https://www.scopus.com/pages/publications/85162795680?origin=resultslist","Next-generation secondary batteries including sodium-ion batteries (SIBs) and potassium-ion batteries (PIBs) are considered the most promising candidates for application to large-scale energy storage systems due to their abundant, evenly distributed and cost-effective sodium/potassium raw materials. The electrochemical performance of SIBs (PIBs) significantly depends on the inherent characteristics of the cathode material. Among the wide variety of cathode materials, sodium/potassium vanadium fluorophosphate (denoted as MVPF, M = Na and K) composites are widely investigated due to their fast ion transportation and robust structure. However, their poor electron conductivity leads to low specific capacity and poor rate capacity, limiting the further application of MVPF cathodes in large-scale energy storage. Accordingly, several modification strategies have been proposed to improve the performance of MVPF such as conductive coating, morphological regulation, and heteroatomic doping, which boost the electronic conductivity of these cathodes and enhance Na (K) ion transportation. Furthermore, the development and application of MVPF cathodes in SIBs at low temperatures are also outlined. Finally, we present a brief summary of the remaining challenges and corresponding strategies for the future development of MVPF cathodes. © 2023 The Royal Society of Chemistry.","","Cost effectiveness; Energy storage; Materials handling; Metal ions; Sodium compounds; Sodium-ion batteries; Vanadium compounds; Cathodes material; Cost effective; Electrochemical performance; Fluoro-phosphates; Ion batteries; Ion transportation; Large-scales; Potassium ions; Sodium ion batteries; Storage systems; Cathodes","Review","Final","","Scopus","2-s2.0-85162795680"
